Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Юозас Бернотас,,Литва,23.04.1989,186.0,80.0
Александр Берсанов,,Беларусь,01.09.1992,176.0,94.0
Нино Бертазио,,Италия,30.07.1988,,
Вероника Бертолини,,Италия,,,
Кристофер Бёртон,,Австралия,22.11.1981,180.0,70.0
Том Бёртон,,Австралия,,,
Лори Бертон,,Франция,26.08.1991,169.0,69.0
Катерине Бертоне,,Италия,06.05.1972,,
Жюль Бессан,,Бенин,14.04.1979,,
Джавид Бест,,Сент-Люсия,30.01.1989,178.0,90.0
Алехандра Бетанкур,,Колумбия,13.06.1987,160.0,82.0
Николас Бетт,,Кения,14.06.1992,,
Амина Беттиш,,Алжир,14.12.1987,,
Марина Бех-Романчук,,Украина,18.07.1995,174.0,59.0
Люк Беццина,,Мальта,07.05.1995,,
Элеанор Беццина,,Мальта,25.03.1977,154.0,
Анас Бешр,,Египет,19.07.1993,,
Артур Бжозовский,,Польша,29.03.1985,,
Пак Ин Би,,Южная Корея,12.07.1988,168.0,60.0
Дэниел Бибби,,Великобритания,06.02.1991,176.0,86.0
Джошуа Бивер,,Австралия,01.03.1993,,
Фиона Бигвуд,,Великобритания,24.04.1976,,
Валид Бидани,,Алжир,11.06.1994,185.0,123.0
Пол Бидерманн,,Германия,07.08.1986,195.0,95.0
Джемма Бидсворт,,Австралия,17.07.1987,180.0,78.0
Йех Пур Биел,,Беженцы,01.01.1995,,
Синди Бийо,,Франция,11.03.1986,,
Дэниел Бил,,Австралия,12.02.1993,184.0,74.0
Симонас Билис,,Литва,11.11.1993,,
Грег Биллингтон,,США,30.05.1989,,
Лорен Биллис,,Пуэрто-Рико,,,
Матьё Билодо,,Канада,27.11.1983,,
Им Чхэ Бин,,Южная Корея,29.10.1991,169.0,75.0
Саиф Бин Футтаис,,ОАЭ,,,
Вилфрид Бингангой,,Габон,25.03.1985,,
Абхинав Биндра,,Индия,,,
Су Бинтянь,,Китай,29.08.1989,,
Дон Бинь,,Китай,22.11.1988,180.0,72.0
Кетия Бирзуле,,Латвия,30.10.1998,164.0,60.0
Онур Бириз,,Турция,16.10.1998,186.0,73.0
Дамьен Биркинхед,,Австралия,08.04.1993,,
Екатерина Бирлова,,Россия,11.08.1987,,
Вера Бирюкова,,Россия,11.04.1998,169.0,50.0
Полин Бискара,,Франция,08.05.1989,157.0,53.0
Бренден Биссет,,Канада,28.01.1993,178.0,73.0
Бруно Битенкорт,,Бразилия,24.06.1993,177.0,76.0
Киран Бихан,,Ирландия,,,
Мелисса Бишоп,,Канада,05.08.1988,,
Изобель Бишоп,,Австралия,08.09.1991,180.0,69.0
Марко Бияч,,Хорватия,12.01.1991,201.0,85.0
Алисия Благг,,Великобритания,21.10.1996,,
Блаж Благотиншек,,Словения,17.01.1994,202.0,
Марко Блажевски,,Северная Македония,10.11.1992,,
Пирмин Блак,,Нидерланды,08.03.1988,188.0,88.0
Дженни Бланделл,,Австралия,09.05.1994,163.0,49.0
Бен Бланкеншип,,США,15.12.1989,,
Хоакин Бланко Альбалат,,Испания,25.06.1989,181.0,80.0
Ромен Блари,,Франция,20.10.1985,195.0,103.0
Константин Блаха,,Австрия,01.12.1987,178.0,76.0
Кестон Бледман,,Тринидад и Тобаго,08.03.1988,180.0,88.0
Доналд Блейр-Сэнфорд,,Израиль,05.02.1987,,
Ирина Близнова,,Россия,06.10.1986,,
Анастасия Близнюк,,Россия,28.06.1994,,
Мадонна Блит,,Австралия,30.11.1985,165.0,60.0
Линн Блом,,Швеция,20.05.1992,180.0,
Мерел Блом,,Нидерланды,,,
Ханна Бломстранд,,Швеция,25.08.1996,173.0,72.0
Шани Блох,,Израиль,06.03.1979,,
Адриан Блоцки,,Польша,11.04.1990,,
Пернилле Блуме,,Дания,14.05.1994,,
Кристиан Блумменфель,,Норвегия,14.02.1994,,
Йохан Блэйк,,Ямайка,26.12.1989,,
Элзабет Блэк,,Канада,08.09.1995,155.0,
Блейк Блэкберн,,Австралия,03.08.1992,181.0,82.0
Цю Бо,,Китай,31.01.1993,161.0,58.0
Эльяне Боал,,Кабо-Верде,,,
Лучилла Боари,,Италия,24.03.1997,162.0,82.0
Эдвальд Боассон Хаген,,Норвегия,17.05.1987,,
Анкуца Бобочел,,Румыния,03.10.1987,,
Владлена Бобровникова,,Россия,24.10.1987,,
Джордж Бовелл,,Тринидад и Тобаго,18.07.1983,,
Сильвия Богацка,,Польша,03.10.1981,,
Тияна Богданович,,Сербия,04.05.1998,171.0,49.0
Анастаия Богдановски,,Северная Македония,30.07.1993,,
Микаэль Бодегас,,Италия,03.05.1987,192.0,102.0
Матьё Бодерлик,,Франция,03.07.1989,185.0,
Мацей Боднар,,Польша,07.03.1985,,
Грегори Бож,,Франция,31.01.1985,181.0,100.0
Лука Божич,,Словения,,,
Алана Бойд,,Австралия,10.05.1984,171.0,59.0
Лорен Бойл,,Новая Зеландия,14.12.1987,183.0,67.0
Брендан Бойс,,Ирландия,08.10.1986,,
Хуан Бокай,,Китай,26.09.1996,,
Соломон Бокари,,Нидерланды,18.05.1987,170.0,64.0
Готтье Боккар,,Бельгия,26.08.1991,186.0,79.0
Федерико Боккья,,Италия,24.10.1986,197.0,88.0
Джорджия Бол,,Австралия,11.04.1997,,
Питер Бол,,Австралия,22.02.1994,,
Шмаги Болквадзе,,Грузия,26.07.1994,170.0,66.0
Усэйн Болт,,Ямайка,21.08.1986,,
Анзор Болтукаев,,Россия,05.04.1986,,
Дин Бомбац,,Словения,,,
Максим Бомон,,Франция,23.04.1982,191.0,91.0
Брет Бонанни,,США,20.01.1994,193.0,93.0
Берта Бонастре,,Испания,03.06.1992,157.0,50.0
Хамиш Бонд,,Новая Зеландия,13.02.1986,189.0,91.0
Богдан Бондаренко,,Украина,30.08.1989,195.0,74.0
Ярослава Бондаренко,,Россия,27.02.1997,,
Артём Бондаренко,,Беларусь,19.06.1991,,
Роман Бондарук,,Украина,,,
Антоанета Бонева,,Болгария,17.01.1986,167.0,70.0
Лемарвин Боневасья,,Нидерланды,05.04.1989,,
Магали Бонилья,,Эквадор,08.02.1992,,
Бартоломей Войцех Бонк,,Польша,11.10.1984,180.0,104.0
Шарлотт Бонне,,Франция,14.02.1995,,
Кайо Бонфим,,Бразилия,19.03.1991,,
Сельма Бонфим да Грака,,Сан-Томе и Принсипи,23.12.1977,,
Тьяго Бонфин,,Бразилия,21.09.1990,193.0,84.0
Том Боон,,Бельгия,25.01.1990,184.0,81.0
Хиллари Бор,,США,22.11.1989,,
Матеус Боргес,,Бразилия,20.07.1993,176.0,78.0
Джорджия Бординьон,,Италия,24.05.1987,161.0,63.0
Эрнесто Бордман,,Мексика,23.02.1993,175.0,92.0
Клеопатра Борел,,Тринидад и Тобаго,03.10.1979,,
Фернандо Борельо,,Аргентина,12.02.1980,,
Мария Борисова,,Россия,28.07.1997,184.0,95.0
Константин Боричевский,,Беларусь,29.05.1990,,
Кевин Борле,,Бельгия,22.02.1988,,
Джонатан Борле,,Бельгия,22.02.1988,,
Бриттани Борман,,США,01.07.1989,,
Надежда Боровская,,Украина,25.02.1981,163.0,50.0
Исмаэль Борреро,,Куба,06.01.1992,160.0,59.0
Иан Борроуз,,Австралия,26.11.1989,186.0,78.0
Фелипе Борхес,,Бразилия,16.11.1994,185.0,72.0
Тео Бос,,Нидерланды,,,
Вилимейн Бос,,Нидерланды,02.05.1988,181.0,69.0
Роже Ив Бос,,Франция,,,
Франсиско Боса,,Перу,19.09.1964,,
Том Босворт,,Великобритания,17.01.1990,184.0,54.0
Ванесса Бослак,,Франция,,,
Пьер-Амбруа Босс,,Франция,11.05.1992,183.0,73.0
Теона Босташвили,,Грузия,,,
Джонатан Ботеро Вильегас,,Колумбия,,,
Скотт Боуден,,Австралия,04.04.1995,,
Тори Боуи,,США,27.08.1990,,
Эдвина Боун,,Австралия,29.04.1988,170.0,70.0
Бренда Боускилл,,Канада,,,
Алекс Боуэн,,США,14.09.1993,196.0,100.0
Рихард Бохус,,Венгрия,09.04.1993,,
Мари-Ева Бошемен-Надо,,Канада,13.10.1988,166.0,69.0
Марина Браво,,Испания,02.07.1989,173.0,68.0
Альберт Браво,,Венесуэла,29.08.1987,,
Николас Брайден,,Острова Кука,10.03.1989,170.0,70.0
Лука Брайдот,,Италия,,,
Марио Альфонсо Бран,,Гватемала,17.10.1989,,
Изабель Бранд,,Гватемала,23.06.1996,169.0,53.0
Доротея Брандт,,Германия,05.03.1984,,
Кристина Бранку,,Ангола,15.03.1985,170.0,
Натан Браннен,,Канада,08.09.1982,174.0,58.0
Рул Брас,,Нидерланды,11.03.1987,200.0,100.0
Тьяго Брас да Силва,,Бразилия,16.12.1993,,
Крис Браун,,Багамские острова,15.10.1978,178.0,75.0
Аарон Браун,,Канада,27.05.1992,198.0,79.0
Уилл Браун,,США,31.12.1991,171.0,61.0
Питер Браун,,Нидерланды,21.01.1993,,
Кемарли Браун,,Бахрейн,20.07.1992,,
Кайл Браун,,ЮАР,06.02.1987,182.0,92.0
Эбби Браун,,Великобритания,10.04.1996,176.0,71.0
Маккензи Браун,,США,14.03.1995,177.0,74.0
Девон Браун,,ЮАР,,,
Алистер Браунли,,Великобритания,23.04.1988,185.0,70.0
Джонатан Браунли,,Великобритания,30.04.1990,178.0,68.0
Хосуэ Брачи Гарсия,,Испания,08.09.1992,156.0,56.0
Драшко Бргулян,,Черногория,27.12.1984,194.0,92.0
Дарко Бргулян,,Черногория,05.11.1990,180.0,97.0
Марин Бреве,,Франция,23.11.1994,160.0,52.0
Пабло Бреггер,,Швейцария,,,
Келли Брезьер,,Новая Зеландия,28.10.1989,171.0,70.0
Хенрихо Брёйнтейес,,ЮАР,16.07.1993,,
Одд Арне Брекне,,Норвегия,01.09.1984,,
Нильс Брембах,,Германия,23.02.1993,184.0,68.0
Себастьян Брендель,,Германия,12.03.1988,192.0,92.0
Нери Бренес,,Коста-Рика,25.09.1985,,
Кимберли Бреннан,,Австралия,09.08.1985,188.0,74.0
Лиза Бреннойер,,Германия,08.06.1988,,
Клаудия Брес,,Польша,,,
Луис Бретхауэр,,Германия,14.09.1992,,
Андреас Бретшнайдер,,Германия,,,
Эльсон Бречтефельд,,Науру,02.03.1994,155.0,56.0
Стефано Бреччароли,,Италия,,,
Жаклин Бриггс,,США,23.05.1988,168.0,61.0
Лоранс Бриз,,Франция,12.07.1976,158.0,53.0
Оле Кристиан Брин,,Норвегия,01.05.1989,,
Лейдис Брито,,Венесуэла,05.07.1984,169.0,52.0
Стефан Бритс,,ЮАР,19.01.1992,,
Лоуренс Бриттейн,,ЮАР,09.11.1990,187.0,94.0
Томас Бриэльс,,Бельгия,23.08.1987,172.0,71.0
Аластер Брогдон,,Великобритания,10.11.1987,183.0,76.0
Даниэль Бродмайер,,Германия,02.09.1987,179.0,98.0
Илия Брозович,,Хорватия,26.05.1991,195.0,
Эллисон Брок,,США,07.12.1979,,
Херберт Броль,,Гватемала,,,
Энрике Броль,,Гватемала,,,
Трэйвон Бромелл,,США,10.07.1995,,
Виктор Бромер,,Дания,20.04.1993,,
Джорджия Бронцини,,Италия,03.08.1983,161.0,54.0
Кристина Броринг-Шпрехе,,Германия,28.10.1986,,
Гэйл Броутон,,Новая Зеландия,05.06.1996,174.0,70.0
Иветте Брох,,Нидерланды,23.12.1990,185.0,
Кристофер Брукс,,США,,,
Эсе Бруме,,Нигерия,,,
Анника Брун,,Германия,05.10.1992,,
Мануэль Брунет,,Аргентина,16.11.1985,179.0,79.0
Ракеле Бруни,,Италия,04.11.1990,,
Адела Брунс,,Чехия,05.02.1987,171.0,60.0
Надин Брурсен,,Нидерланды,29.04.1990,171.0,63.0
Николас Бруссоне,,Аргентина,24.10.1985,168.0,76.0
Холли Брэдшоу,,Великобритания,02.11.1991,175.0,70.0
Аурелия Брэдяну,,Румыния,05.05.1979,179.0,
Софи Брэй,,Великобритания,12.05.1990,164.0,58.0
Марвин Брэйси,,США,15.12.1993,,
Оле-Кристиан Брюн,,Норвегия,01.05.1989,,
Манон Брюне,,Франция,07.02.1996,165.0,55.0
Стефани Брюссель,,Франция,29.01.1974,,
Александр Брюханков,,Россия,12.04.1987,186.0,76.0
Алексей Брянский,,Россия,14.09.1997,195.0,78.0
Марин Буа,,Франция,22.05.2000,160.0,50.0
Мателита Буадромо,,Фиджи,15.01.1996,,
Кирати Буалонг,,Таиланд,06.12.1992,181.0,82.0
Джошуа Буатси,,Великобритания,14.03.1993,185.0,
Чафик Буауд,,Алжир,12.02.1999,177.0,74.0
Инес Бубакри,,Тунис,28.12.1988,167.0,56.0
Андреас Бубе,,Дания,13.07.1987,,
Виталий Бубнович,,Беларусь,12.11.1974,170.0,68.0
Уссама Буганми,,Тунис,05.02.1990,186.0,
Тома Буда,,Франция,24.02.1994,,
Розане Сибеле Будаг,,Бразилия,27.08.1973,174.0,66.0
