Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Мохаммед Ахмед,,Канада,05.01.1991,,
Эсраа Ахмед,,Египет,21.11.1998,150.0,62.0
Масба Ахммед,,Бангладеш,11.03.1995,,
Мишель-Ли Ахье,,Тринидад и Тобаго,10.04.1992,,
Сабина Аширбаева,,Казахстан,,,
Никель Ашмид,,Ямайка,07.04.1990,,
Адити Ашок,,Индия,29.03.1998,173.0,57.0
У Ашунь,,Китай,22.06.1985,,
Ярослав Баба,,Чехия,02.09.1984,,
Назим Бабаев,,Азербайджан,08.10.1997,,
Лалита Бабар,,Индия,02.06.1989,,
Грачик Бабаян,,Армения,01.08.1996,,
Бриан Бабилония,,Пуэрто-Рико,16.09.1994,,
Тебе Баболоки,,Ботсвана,18.03.1997,,
Марко Багарич,,Катар,31.12.1985,100.0,201.0
Надежда Бажина,,Россия,29.12.1987,170.0,59.0
Жозе Алешандро Бажио,,Бразилия,16.04.1981,,
Фабио Базиле,,Италия,07.10.1994,160.0,66.0
Лорен Базоло,,Португалия,04.05.1983,170.0,60.0
Вивиан Баия,,Бразилия,14.02.1994,176.0,68.0
Балаж Байи,,Венгрия,09.06.1989,,
Симона Байлс,,США,14.03.1997,,
Марта Байона Пинеда,,Колумбия,12.08.1995,155.0,60.0
Габриэла Байярдо,,Мексика,18.02.1994,168.0,76.0
Абдулла Хель Баки,,Бангладеш,01.08.1989,,
Чарли Бакингем,,США,,,
Билли Баккер,,Нидерланды,23.11.1988,188.0,82.0
Хадер Гетрих Бакла,,Иордания,,,
Талита Бакла,,Иордания,27.10.1995,,
Онур Баклан,,Турция,10.03.1996,,
Ханна Баклинг,,Австралия,03.06.1992,177.0,75.0
Зоуи Бакмен,,Австралия,21.12.1988,,
Диана Бакози,,Италия,13.07.1983,175.0,85.0
Нина Балабан,,Северная Македония,02.11.1995,158.0,58.0
Борис Балаж,,Словакия,20.11.1997,182.0,72.0
Дмитрий Баландин,,Казахстан,,,
Бирхану Балев,,Бахрейн,27.02.1996,,
